"Site","Date","Time","Z1_Mean_Tair","Z1_Min_Tair","Z1_Max_Tair","Z1_SD_Tair","Z2_Mean_Tair","Z2_Min_Tair","Z2_Max_Tair","Z2_SD_Tair","Z3_Mean_Tair","Z3_Min_Tair","Z3_Max_Tair","Z3_SD_Tair"
1,"2016-06-09","00:00",14.1936770330914,12.2255010604858,14.3809080123901,0.328754393488325,14.1095373944159,12.0064306259155,14.3940525054932,0.467854254259168,14.0912090018144,11.8874731063843,14.5070190429688,0.476230899886359
1,"2016-06-09","01:00",9.6257300620445,8.35315322875977,9.77994823455811,0.177703004761031,9.58527778580035,8.16482448577881,9.81006717681885,0.242322504675699,9.57235655830984,8.0675048828125,9.91131591796875,0.245712302765898
1,"2016-06-09","02:00",8.45117521765442,7.18847799301147,8.60368537902832,0.179846662673882,8.40943087229864,7.00941848754883,8.63393688201904,0.246637370826889,8.39662412750851,6.91265535354614,8.73496723175049,0.250116649025703
1,"2016-06-09","03:00",7.46682998453923,6.2169771194458,7.61798477172852,0.181820820380702,7.42383329443101,6.0480432510376,7.64833354949951,0.250651749270531,7.41116068530202,5.95192527770996,7.74972200393677,0.254236085485741
1,"2016-06-09","04:00",6.75140644528475,5.51854515075684,6.90161895751953,0.18324964331046,6.70731479800866,5.36035346984863,6.93199920654297,0.25378274393132,6.69480874330121,5.26500177383423,7.03445529937744,0.257478052301652
1,"2016-06-09","05:00",6.21211519450058,5.00098991394043,6.36153602600098,0.183955598526814,6.16712845410848,4.85395097732544,6.39186096191406,0.255794410817973,6.1548337607616,4.75953245162964,6.4958758354187,0.259601912541191
1,"2016-06-09","06:00",5.72054835098155,4.53565979003906,5.86903667449951,0.183826001156418,5.67490923709004,4.39973735809326,5.89920473098755,0.256525408118284,5.66287428423963,4.30644702911377,6.00492668151855,0.260439877435245
1,"2016-06-09","07:00",5.22253722844632,4.06613445281982,5.3698525428772,0.182961595462853,5.17649964542077,3.94050288200378,5.39977216720581,0.25608826270926,5.16475426095351,3.85174679756165,5.50702953338623,0.260095887493644
1,"2016-06-09","08:00",4.806215306791,3.67562007904053,4.95234537124634,0.181921543470612,4.75992615657431,3.57390880584717,4.98199129104614,0.255249320110431,4.74845324577545,3.4898099899292,5.10809755325317,0.259333277604482
1,"2016-06-09","09:00",4.68863213282329,3.57386779785156,4.83507919311523,0.181637364669389,4.64204403380992,3.48373579978943,4.86351251602173,0.255296174542759,4.63075112160672,3.4069185256958,5.01043272018433,0.259444107152379
1,"2016-06-09","10:00",7.68605395918567,6.52564477920532,7.83760356903076,0.191440440262774,7.63661559280591,6.43274402618408,7.86610698699951,0.269693155523171,7.62493934383894,6.36252069473267,8.02928733825684,0.2740867905303
1,"2016-06-09","11:00",9.59617041914406,7.15165662765503,9.77130889892578,0.467619533898492,9.47201609974802,7.07275676727295,9.80526161193848,0.668587121119051,9.44948247856209,6.94797611236572,9.88822841644287,0.683337693850066
1,"2016-06-09","12:00",11.8807357358114,8.08148956298828,12.3972425460815,0.765163752182559,11.674671433429,7.98818778991699,12.4149703979492,1.10153435803702,11.6417945766566,7.82702875137329,12.5256881713867,1.12906826949999
1,"2016-06-09","13:00",14.3615571305651,9.35048770904541,15.4455842971802,1.03007535354221,14.0782954824735,9.15315341949463,15.4761581420898,1.49155222408065,14.0380073955474,8.96970367431641,15.6490812301636,1.53222422662802
1,"2016-06-09","14:00",16.9529915390666,11.0553674697876,18.7619514465332,1.21633713507986,16.6083181820424,10.5850143432617,19.169017791748,1.77396151605487,16.5654083640751,10.0761575698853,19.3572616577148,1.82756018215069
1,"2016-06-09","15:00",19.5898244897202,13.0376501083374,22.1351051330566,1.32177860810011,19.2041437819607,11.8962707519531,22.8202438354492,1.94177765135132,19.1618739400546,10.9881353378296,23.0711307525635,2.00831192916396
1,"2016-06-09","16:00",21.8828429341464,14.7799739837646,24.556173324585,1.38996669450024,21.4726039266772,13.5562887191772,25.0684108734131,2.05011344835031,21.4300433269053,12.0554609298706,25.5871963500977,2.12645790016699
1,"2016-06-09","17:00",23.3287250275664,15.9052391052246,25.9103126525879,1.41285289343087,22.9123443146499,14.8318586349487,26.4083843231201,2.08565242947547,22.8692661754203,13.0417432785034,26.8622932434082,2.16489100079014
1,"2016-06-09","18:00",23.7918185078884,16.3648796081543,26.0569305419922,1.38278056370633,23.387315921333,15.7190523147583,26.6685943603516,2.03950758801286,23.3441794354365,13.7508478164673,27.1623859405518,2.11553261859002
1,"2016-06-09","19:00",23.5182039529074,16.269359588623,25.7959117889404,1.33648660784629,23.132653624172,15.6279611587524,26.3145542144775,1.96627040138107,23.0889526157943,14.1991348266602,26.8744621276855,2.03519389184724
1,"2016-06-09","20:00",22.5443328909358,15.7531938552856,24.6623020172119,1.26252335293887,22.1875327272408,15.2462043762207,25.3156642913818,1.84872995504477,22.1435667157957,14.3732805252075,25.9797859191895,1.90767756032064
1,"2016-06-09","21:00",21.0428236639519,15.1362924575806,22.5717277526855,1.13665311455581,20.7254358633365,14.6781215667725,23.2399768829346,1.65524401230775,20.6821852859361,14.4525127410889,24.0706691741943,1.70285408142728
1,"2016-06-09","22:00",18.6657337853716,14.1140556335449,19.6893539428711,0.885955731063418,18.424753621654,13.8779668807983,20.1050891876221,1.28142410704374,18.3879878127465,13.7273330688477,20.5759773254395,1.3149106035566
1,"2016-06-09","23:00",16.2141561812013,13.0582609176636,16.7569675445557,0.60170936762326,16.0546557637901,12.8982858657837,16.861364364624,0.863889565033354,16.0268278001909,12.7542190551758,17.0015277862549,0.883719005058303
1,"2016-08-17","00:00",21.9527689407306,20.6457366943359,22.0089015960693,0.126465942488091,21.9363672009176,20.3212013244629,22.0328521728516,0.146241900111187,21.930909534719,20.2312755584717,22.0955867767334,0.1495171180966
1,"2016-08-17","01:00",19.6184077636514,18.2500667572021,19.7003078460693,0.124678053068249,19.6026742220766,18.0442447662354,19.7218399047852,0.145604008195389,19.5948666152069,17.9784030914307,19.7845211029053,0.148528742714963
1,"2016-08-17","02:00",18.9816979766317,17.6001014709473,19.0677509307861,0.131497341432422,18.9632347099155,17.4019145965576,19.0891704559326,0.156520276809279,18.9549945913897,17.3472747802734,19.1522903442383,0.159472876552809
1,"2016-08-17","03:00",18.4454909713961,17.0448055267334,18.536808013916,0.140697939527274,18.4235549439807,16.8814659118652,18.5579071044922,0.171177362821097,18.4147749968525,16.8500728607178,18.6216259002686,0.174209687163189
1,"2016-08-17","04:00",18.0100519481246,16.5860252380371,18.1076831817627,0.15235434059181,17.9838723360106,16.4892082214355,18.1282157897949,0.189728247364183,17.9744671100928,16.4613132476807,18.1923198699951,0.192910336665323
1,"2016-08-17","05:00",17.63488598847,16.2263622283936,17.7348480224609,0.163008567272675,17.5994021555711,16.1693019866943,17.7576007843018,0.216040785064138,17.5892526874492,16.1231250762939,17.8225154876709,0.219063839868186
1,"2016-08-17","06:00",17.2626774307423,15.8860902786255,17.3699741363525,0.179392243259206,17.2215147073032,15.86181640625,17.3923091888428,0.241727572375725,17.2107077503034,15.8180389404297,17.4580612182617,0.245036459709412
1,"2016-08-17","07:00",16.8634189662895,15.571478843689,16.9781646728516,0.197184536707947,16.8157797317648,15.5524168014526,16.9999332427979,0.270288674103696,16.8043747233171,15.5103397369385,17.0712394714355,0.274205247024858
1,"2016-08-17","08:00",16.4581148616065,15.2642812728882,16.5793514251709,0.214915315224186,16.4029671769257,15.2472991943359,16.6002101898193,0.30085395858646,16.3910865262164,15.2103929519653,16.6974124908447,0.305969735150791
1,"2016-08-17","09:00",16.1308644746405,15.0494956970215,16.3067607879639,0.227862257026593,16.0670007413452,15.02965259552,16.3439102172852,0.328122400450319,16.0559863064784,14.9980201721191,16.4776172637939,0.33492861654235
1,"2016-08-17","10:00",16.0732066049539,15.0399627685547,16.2861099243164,0.22574867839325,16.0091229552447,15.0191736221313,16.3249683380127,0.325398609237895,16.0000361706336,14.9871530532837,16.4612941741943,0.333492777537237
1,"2016-08-17","11:00",18.2671315125347,16.785493850708,18.4020175933838,0.323223702172904,18.1776520119131,16.7638835906982,18.4243297576904,0.467357588800508,18.1635706661294,16.7161197662354,18.4900016784668,0.478476094193481
1,"2016-08-17","12:00",19.7788898077361,17.3309421539307,19.9562759399414,0.534831690772946,19.6345550956203,17.3069477081299,19.9847221374512,0.77442243362911,19.6097273813726,17.2128887176514,20.0525703430176,0.792983512556189
1,"2016-08-17","13:00",21.6047014933262,18.171199798584,22.0263118743896,0.735524934576784,21.390405398152,18.135986328125,22.0645885467529,1.05530568438967,21.3626310464424,17.9768238067627,22.116605758667,1.0844065166111
1,"2016-08-17","14:00",23.2884874212526,19.3451328277588,24.3983173370361,0.828077848474337,23.02201702024,19.1479568481445,24.3814716339111,1.16225585702629,23.0000855982189,18.9525547027588,24.4492321014404,1.19866431555227
1,"2016-08-17","15:00",24.7967403931244,20.7722969055176,26.8826179504395,0.85923163572295,24.4867288613136,20.1605262756348,26.8654308319092,1.14698532513554,24.4740632116674,19.9499568939209,27.0341854095459,1.18986199534903
1,"2016-08-17","16:00",25.9615574794704,22.1400566101074,28.8487586975098,0.848118322764828,25.6374446125569,21.3434734344482,28.8837032318115,1.06419294920206,25.634416899642,20.9348201751709,29.099437713623,1.1116638074874
1,"2016-08-17","17:00",26.669199435229,23.1072597503662,30.0751361846924,0.820819032347906,26.3497128629243,22.3526306152344,30.037670135498,0.970529787215716,26.3531952946822,21.7611923217773,30.2714653015137,1.01906209335842
1,"2016-08-17","18:00",26.9327745194652,23.5895500183105,30.4078578948975,0.77238467675906,26.6330656775947,23.0588893890381,30.481876373291,0.886956722307356,26.6385613105606,22.3768787384033,30.6395168304443,0.932852777346539
1,"2016-08-17","19:00",26.7722537069544,23.5033416748047,29.7334461212158,0.714102861646727,26.5013611790758,23.2586002349854,29.752046585083,0.840102335570899,26.5035657749457,22.7253036499023,29.8771553039551,0.879614364295901
1,"2016-08-17","20:00",26.2295495351369,23.1227722167969,28.4671726226807,0.630716566347935,25.998734076715,22.965856552124,28.4724292755127,0.773621977935879,25.9962230709663,22.7923793792725,28.6499156951904,0.805870907977696
1,"2016-08-17","21:00",25.3282414712671,22.5134010314941,26.76540184021,0.532806872169867,25.1448178994207,22.4115123748779,26.7805461883545,0.682422153451244,25.1377540632239,22.3667392730713,26.935510635376,0.707147777647831
