"Site","Date","Time","Mean_Tair","Min_Tair","Max_Tair","SD_Tair"
"1",2016-06-09,"00:00",14.0950083071428,11.8874731063843,14.5070190429688,0.473865522280191
"1",2016-06-09,"01:00",9.57484510385888,8.0675048828125,9.91131591796875,0.244709059592357
"1",2016-06-09,"02:00",8.39910723912186,6.91265535354614,8.73496723175049,0.249081802137697
"1",2016-06-09,"03:00",7.41363479742592,5.95192527770996,7.74972200393677,0.253168227024451
"1",2016-06-09,"04:00",6.69726704962092,5.26500177383423,7.03445529937744,0.256378896945581
"1",2016-06-09,"05:00",6.15726703190271,4.75953245162964,6.4958758354187,0.258474318832662
"1",2016-06-09,"06:00",5.66527228401481,4.30644702911377,6.00492668151855,0.259288066177909
"1",2016-06-09,"07:00",5.16710962878598,3.85174679756165,5.50702953338623,0.258925361322885
"1",2016-06-09,"08:00",4.75076725644952,3.4898099899292,5.10809755325317,0.258148483139783
"1",2016-06-09,"09:00",4.63303914781748,3.4069185256958,5.01043272018433,0.258246172243032
"1",2016-06-09,"10:00",7.62731780975885,6.36252069473267,8.02928733825684,0.272814949587812
"1",2016-06-09,"11:00",9.45436196642395,6.94797611236572,9.88822841644287,0.67949176768913
"1",2016-06-09,"12:00",11.6491646896234,7.82702875137329,12.5256881713867,1.12216972222268
"1",2016-06-09,"13:00",14.0473484110751,8.96970367431641,15.6490812301636,1.52230038585467
"1",2016-06-09,"14:00",16.5757898903574,10.0761575698853,19.3572616577148,1.8148770645866
"1",2016-06-09,"15:00",19.172565184556,10.9881353378296,23.0711307525635,1.99314145967061
"1",2016-06-09,"16:00",21.441028624668,12.0554609298706,25.5871963500977,2.10945911653959
"1",2016-06-09,"17:00",22.8803966636069,13.0417432785034,26.8622932434082,2.14734421630059
"1",2016-06-09,"18:00",23.3551997496988,13.7508478164673,27.1623859405518,2.09860604732027
"1",2016-06-09,"19:00",23.0998730776245,14.1991348266602,26.8744621276855,2.01957286437118
"1",2016-06-09,"20:00",22.1542404475513,14.3732805252075,25.9797859191895,1.89393786463453
"1",2016-06-09,"21:00",20.6923470284711,14.4525127410889,24.0706691741943,1.69141132695637
"1",2016-06-09,"22:00",18.3963358352306,13.7273330688477,20.5759773254395,1.30662462022228
"1",2016-06-09,"23:00",16.0329159064065,12.7542190551758,17.0015277862549,0.87860243266951
"1",2016-08-17,"00:00",21.931953755776,20.2312755584717,22.0955867767334,0.148839718753327
"1",2016-08-17,"01:00",19.596282634131,17.9784030914307,19.7845211029053,0.147912338359906
"1",2016-08-17,"02:00",18.956507757579,17.3472747802734,19.1522903442383,0.158820343809915
"1",2016-08-17,"03:00",18.4164100765727,16.8500728607178,18.6216259002686,0.173502407418356
"1",2016-08-17,"04:00",17.9762456270854,16.4613132476807,18.1923198699951,0.192126284105636
"1",2016-08-17,"05:00",17.5912447475145,16.1231250762939,17.8225154876709,0.218190930403638
"1",2016-08-17,"06:00",17.2128628846306,15.8180389404297,17.4580612182617,0.244047839292174
"1",2016-08-17,"07:00",16.8066913871525,15.5103397369385,17.0712394714355,0.273039111688788
"1",2016-08-17,"08:00",16.3935553902157,15.2103929519653,16.6974124908447,0.304518759161213
"1",2016-08-17,"09:00",16.0584033828824,14.9980201721191,16.4776172637939,0.333103618382611
"1",2016-08-17,"10:00",16.0021449583027,14.9871530532837,16.4612941741943,0.331462528167817
"1",2016-08-17,"11:00",18.1667396187909,16.7161197662354,18.4900016784668,0.475632416634138
"1",2016-08-17,"12:00",19.615179545616,17.2128887176514,20.0525703430176,0.788245063221489
"1",2016-08-17,"13:00",21.3692621229191,17.9768238067627,22.116605758667,1.07740661670284
"1",2016-08-17,"14:00",23.0063007234392,18.9525547027588,24.4492321014404,1.19043097537904
"1",2016-08-17,"15:00",24.4792241334064,19.9499568939209,27.0341854095459,1.18104460023946
"1",2016-08-17,"16:00",25.6381673117731,20.9348201751709,29.099437713623,1.10275278474082
"1",2016-08-17,"17:00",26.3558504930113,21.7611923217773,30.2714653015137,1.01056130392275
"1",2016-08-17,"18:00",26.6406931315173,22.3768787384033,30.6395168304443,0.925050395810815
"1",2016-08-17,"19:00",26.505937628222,22.7253036499023,29.8771553039551,0.87265497017868
"1",2016-08-17,"20:00",25.9989510654535,22.7923793792725,28.6499156951904,0.799840196625834
"1",2016-08-17,"21:00",25.140738344714,22.3667392730713,26.935510635376,0.702180347301572
"1",2016-08-17,"22:00",24.0290369153152,21.6858806610107,25.0311431884766,0.580439521386834
"1",2016-08-17,"23:00",22.8166989537667,20.8949584960938,23.3004875183105,0.449219424485694
"1",2017-07-04,"00:00",23.1186744371586,20.8943023681641,24.9204158782959,0.64101627776951
"1",2017-07-04,"01:00",21.9597391286825,20.4686069488525,23.5645561218262,0.59530411240957
"1",2017-07-04,"02:00",18.0395385413237,16.761381149292,19.1570930480957,0.476209271030346
"1",2017-07-04,"03:00",17.2668773584138,16.0951156616211,18.0915946960449,0.382594550066374
"1",2017-07-04,"04:00",16.5530398861917,15.3907470703125,17.354434967041,0.374820531024706
"1",2017-07-04,"05:00",15.8847640795457,14.6112051010132,16.856689453125,0.508864299514158
"1",2017-07-04,"06:00",15.1880344565133,13.7902460098267,16.4324569702148,0.601287125740289
"1",2017-07-04,"07:00",14.4841422952393,12.9997129440308,15.9848222732544,0.675645700899703
"1",2017-07-04,"08:00",13.8660134036178,12.3184776306152,15.5734529495239,0.726808712721065
"1",2017-07-04,"09:00",13.5263941667766,11.9341554641724,15.4061784744263,0.766134873907168
